,cluster_path,singles_paths,cluster_E,c_HF,c_MP2,c_CCSDT,singles_E,s_HF,s_MP2,s_CCSDT,int_HF,int_MP2,int_CCSDT
test370,[PosixPath('/home/boittier/pcbach/molpro_energies/test370/test370.out')],"[PosixPath('/home/boittier/pcbach/3body/f12/test370/test370_1.out'), PosixPath('/home/boittier/pcbach/3body/f12/test370/test370_4.out'), PosixPath('/home/boittier/pcbach/3body/f12/test370/test370_10.out'), PosixPath('/home/boittier/pcbach/3body/f12/test370/test370_0.out'), PosixPath('/home/boittier/pcbach/3body/f12/test370/test370_12.out'), PosixPath('/home/boittier/pcbach/3body/f12/test370/test370_8.out'), PosixPath('/home/boittier/pcbach/3body/f12/test370/test370_19.out'), PosixPath('/home/boittier/pcbach/3body/f12/test370/test370_7.out'), PosixPath('/home/boittier/pcbach/3body/f12/test370/test370_11.out'), PosixPath('/home/boittier/pcbach/3body/f12/test370/test370_6.out'), PosixPath('/home/boittier/pcbach/3body/f12/test370/test370_5.out'), PosixPath('/home/boittier/pcbach/3body/f12/test370/test370_13.out'), PosixPath('/home/boittier/pcbach/3body/f12/test370/test370_15.out'), PosixPath('/home/boittier/pcbach/3body/f12/test370/test370_2.out'), PosixPath('/home/boittier/pcbach/3body/f12/test370/test370_9.out'), PosixPath('/home/boittier/pcbach/3body/f12/test370/test370_14.out'), PosixPath('/home/boittier/pcbach/3body/f12/test370/test370_16.out'), PosixPath('/home/boittier/pcbach/3body/f12/test370/test370_3.out'), PosixPath('/home/boittier/pcbach/3body/f12/test370/test370_17.out'), PosixPath('/home/boittier/pcbach/3body/f12/test370/test370_18.out')]","(-1527.49315861, -1521.25861113, -1521.22794757)",-1521.22794757,-1521.25861113,-1527.49315861,"[(-76.37254034, -76.06622072, -76.06459474), (-76.37222378, -76.06550222, -76.06387924), (-76.37109296, -76.06275776, -76.06117708), (-76.37159595, -76.06533453, -76.06369893), (-76.36765249, -76.05720816, -76.05567358), (-76.36671445, -76.05610089, -76.05456253), (-76.37092283, -76.06298893, -76.06140775), (-76.36844445, -76.06018465, -76.05861405), (-76.37099733, -76.06273966, -76.06115513), (-76.36923376, -76.06092106, -76.05932278), (-76.37078033, -76.06311307, -76.06152413), (-76.36907886, -76.06141227, -76.05980672), (-76.37231383, -76.06553427, -76.0639185), (-76.36943582, -76.06050196, -76.05892492), (-76.37231699, -76.06578546, -76.06416389), (-76.3693072, -76.05987173, -76.05832099), (-76.37178681, -76.06683202, -76.06516345), (-76.36820039, -76.06153386, -76.05988416), (-76.37078061, -76.06487116, -76.06323006), (-76.37225688, -76.06625427, -76.06461093)]",-1521.22363356,-1521.25566865,-1527.40767606,-2.7070542169775282,-1.8464150274409563,-53.64055657253968
test371,[PosixPath('/home/boittier/pcbach/molpro_energies/test371/test371.out')],"[PosixPath('/home/boittier/pcbach/3body/f12/test371/test371_15.out'), PosixPath('/home/boittier/pcbach/3body/f12/test371/test371_16.out'), PosixPath('/home/boittier/pcbach/3body/f12/test371/test371_0.out'), PosixPath('/home/boittier/pcbach/3body/f12/test371/test371_12.out'), PosixPath('/home/boittier/pcbach/3body/f12/test371/test371_10.out'), PosixPath('/home/boittier/pcbach/3body/f12/test371/test371_14.out'), PosixPath('/home/boittier/pcbach/3body/f12/test371/test371_11.out'), PosixPath('/home/boittier/pcbach/3body/f12/test371/test371_17.out'), PosixPath('/home/boittier/pcbach/3body/f12/test371/test371_18.out'), PosixPath('/home/boittier/pcbach/3body/f12/test371/test371_1.out'), PosixPath('/home/boittier/pcbach/3body/f12/test371/test371_19.out'), PosixPath('/home/boittier/pcbach/3body/f12/test371/test371_2.out'), PosixPath('/home/boittier/pcbach/3body/f12/test371/test371_3.out'), PosixPath('/home/boittier/pcbach/3body/f12/test371/test371_4.out'), PosixPath('/home/boittier/pcbach/3body/f12/test371/test371_6.out'), PosixPath('/home/boittier/pcbach/3body/f12/test371/test371_5.out'), PosixPath('/home/boittier/pcbach/3body/f12/test371/test371_8.out'), PosixPath('/home/boittier/pcbach/3body/f12/test371/test371_9.out'), PosixPath('/home/boittier/pcbach/3body/f12/test371/test371_7.out'), PosixPath('/home/boittier/pcbach/3body/f12/test371/test371_13.out')]","(-1527.48565474, -1521.25780525, -1521.22712226)",-1521.22712226,-1521.25780525,-1527.48565474,"[(-76.37172858, -76.06422511, -76.06262051), (-76.37170873, -76.06564249, -76.06399625), (-76.37141897, -76.06457956, -76.06295798), (-76.36953879, -76.06054835, -76.05898064), (-76.36621872, -76.05566596, -76.05414407), (-76.37162373, -76.06461939, -76.06299913), (-76.37086543, -76.06263352, -76.06105337), (-76.36701309, -76.05750721, -76.05595541), (-76.37017061, -76.06441379, -76.06275868), (-76.37061625, -76.0624699, -76.06087552), (-76.36683748, -76.05611423, -76.05458081), (-76.36912027, -76.06066314, -76.05908512), (-76.3716601, -76.06389519, -76.06230722), (-76.37045481, -76.06184278, -76.06026406), (-76.37079098, -76.0636935, -76.06207632), (-76.36959779, -76.06079936, -76.05921904), (-76.36962171, -76.06239363, -76.06076535), (-76.37114996, -76.06296121, -76.06137439), (-76.37214088, -76.06497253, -76.06336325), (-76.37148294, -76.06375379, -76.06216265)]",-1521.2115397700004,-1521.2433946400001,-1527.4037598199998,-9.778059222211331,-9.042701006775724,-51.389307984882535
test373,[PosixPath('/home/boittier/pcbach/molpro_energies/test373/test373.out')],"[PosixPath('/home/boittier/pcbach/3body/f12/test373/test373_11.out'), PosixPath('/home/boittier/pcbach/3body/f12/test373/test373_12.out'), PosixPath('/home/boittier/pcbach/3body/f12/test373/test373_5.out'), PosixPath('/home/boittier/pcbach/3body/f12/test373/test373_10.out'), PosixPath('/home/boittier/pcbach/3body/f12/test373/test373_13.out'), PosixPath('/home/boittier/pcbach/3body/f12/test373/test373_0.out'), PosixPath('/home/boittier/pcbach/3body/f12/test373/test373_7.out'), PosixPath('/home/boittier/pcbach/3body/f12/test373/test373_6.out'), PosixPath('/home/boittier/pcbach/3body/f12/test373/test373_18.out'), PosixPath('/home/boittier/pcbach/3body/f12/test373/test373_14.out'), PosixPath('/home/boittier/pcbach/3body/f12/test373/test373_9.out'), PosixPath('/home/boittier/pcbach/3body/f12/test373/test373_15.out'), PosixPath('/home/boittier/pcbach/3body/f12/test373/test373_3.out'), PosixPath('/home/boittier/pcbach/3body/f12/test373/test373_16.out'), PosixPath('/home/boittier/pcbach/3body/f12/test373/test373_19.out'), PosixPath('/home/boittier/pcbach/3body/f12/test373/test373_4.out'), PosixPath('/home/boittier/pcbach/3body/f12/test373/test373_8.out'), PosixPath('/home/boittier/pcbach/3body/f12/test373/test373_1.out'), PosixPath('/home/boittier/pcbach/3body/f12/test373/test373_2.out'), PosixPath('/home/boittier/pcbach/3body/f12/test373/test373_17.out')]","(-1527.48105367, -1521.25925039, -1521.22857242)",-1521.22857242,-1521.25925039,-1527.48105367,"[(-76.37024636, -76.06187469, -76.06030723), (-76.37106096, -76.06356434, -76.0619585), (-76.3682477, -76.05953761, -76.057956), (-76.3716419, -76.06384768, -76.06225325), (-76.37124112, -76.06381516, -76.06222346), (-76.36978761, -76.06283533, -76.061204), (-76.36604262, -76.05863778, -76.05703218), (-76.37155121, -76.06378878, -76.06219109), (-76.36922466, -76.06068561, -76.059114), (-76.37129478, -76.06524748, -76.06361472), (-76.36941062, -76.06088211, -76.05929825), (-76.36734792, -76.05733762, -76.05578193), (-76.36937659, -76.05987237, -76.05831953), (-76.37133654, -76.06349901, -76.0619153), (-76.3719772, -76.06516221, -76.06354973), (-76.36749644, -76.0589571, -76.05738581), (-76.37118659, -76.06402389, -76.06241657), (-76.3716921, -76.06412314, -76.06252177), (-76.37153901, -76.06366921, -76.06207766), (-76.36842587, -76.0583994, -76.05686267)]",-1521.2079836500002,-1521.23976052,-1527.4001278,-12.919514941249691,-12.229951894699814,-50.781226202530696
test374,[PosixPath('/home/boittier/pcbach/molpro_energies/test374/test374.out')],"[PosixPath('/home/boittier/pcbach/3body/f12/test374/test374_0.out'), PosixPath('/home/boittier/pcbach/3body/f12/test374/test374_10.out'), PosixPath('/home/boittier/pcbach/3body/f12/test374/test374_12.out'), PosixPath('/home/boittier/pcbach/3body/f12/test374/test374_14.out'), PosixPath('/home/boittier/pcbach/3body/f12/test374/test374_11.out'), PosixPath('/home/boittier/pcbach/3body/f12/test374/test374_15.out'), PosixPath('/home/boittier/pcbach/3body/f12/test374/test374_18.out'), PosixPath('/home/boittier/pcbach/3body/f12/test374/test374_3.out'), PosixPath('/home/boittier/pcbach/3body/f12/test374/test374_6.out'), PosixPath('/home/boittier/pcbach/3body/f12/test374/test374_2.out'), PosixPath('/home/boittier/pcbach/3body/f12/test374/test374_1.out'), PosixPath('/home/boittier/pcbach/3body/f12/test374/test374_13.out'), PosixPath('/home/boittier/pcbach/3body/f12/test374/test374_16.out'), PosixPath('/home/boittier/pcbach/3body/f12/test374/test374_5.out'), PosixPath('/home/boittier/pcbach/3body/f12/test374/test374_17.out'), PosixPath('/home/boittier/pcbach/3body/f12/test374/test374_9.out'), PosixPath('/home/boittier/pcbach/3body/f12/test374/test374_19.out'), PosixPath('/home/boittier/pcbach/3body/f12/test374/test374_8.out'), PosixPath('/home/boittier/pcbach/3body/f12/test374/test374_4.out'), PosixPath('/home/boittier/pcbach/3body/f12/test374/test374_7.out')]","(-1527.47138389, -1521.23205496, -1521.20161817)",-1521.20161817,-1521.23205496,-1527.47138389,"[(-76.37083751, -76.06229067, -76.06071717), (-76.36811062, -76.05852728, -76.05696258), (-76.37058124, -76.06265202, -76.0610589), (-76.37086006, -76.06281951, -76.06122404), (-76.37236338, -76.06715913, -76.06550652), (-76.37025794, -76.06183925, -76.06027014), (-76.3716872, -76.0647601, -76.06313793), (-76.3720059, -76.0650571, -76.06344283), (-76.36079256, -76.0489514, -76.04741946), (-76.37035826, -76.06179201, -76.0602097), (-76.36853872, -76.05928003, -76.05771174), (-76.36909756, -76.06010671, -76.05853083), (-76.37029263, -76.06204816, -76.06045531), (-76.36783381, -76.05772899, -76.0561851), (-76.37246909, -76.06662495, -76.06498261), (-76.36807631, -76.05790546, -76.0563682), (-76.37007578, -76.06172639, -76.06013694), (-76.37192722, -76.06600057, -76.06435695), (-76.37021575, -76.06173253, -76.06014936), (-76.36149997, -76.04836354, -76.0468819)]",-1521.1857082100003,-1521.2173658000002,-1527.38788151,-9.98354762976526,-9.217491967330412,-52.39799395715706
test375,[PosixPath('/home/boittier/pcbach/molpro_energies/test375/test375.out')],"[PosixPath('/home/boittier/pcbach/3body/f12/test375/test375_0.out'), PosixPath('/home/boittier/pcbach/3body/f12/test375/test375_10.out'), PosixPath('/home/boittier/pcbach/3body/f12/test375/test375_13.out'), PosixPath('/home/boittier/pcbach/3body/f12/test375/test375_11.out'), PosixPath('/home/boittier/pcbach/3body/f12/test375/test375_12.out'), PosixPath('/home/boittier/pcbach/3body/f12/test375/test375_19.out'), PosixPath('/home/boittier/pcbach/3body/f12/test375/test375_14.out'), PosixPath('/home/boittier/pcbach/3body/f12/test375/test375_15.out'), PosixPath('/home/boittier/pcbach/3body/f12/test375/test375_17.out'), PosixPath('/home/boittier/pcbach/3body/f12/test375/test375_18.out'), PosixPath('/home/boittier/pcbach/3body/f12/test375/test375_6.out'), PosixPath('/home/boittier/pcbach/3body/f12/test375/test375_16.out'), PosixPath('/home/boittier/pcbach/3body/f12/test375/test375_4.out'), PosixPath('/home/boittier/pcbach/3body/f12/test375/test375_5.out'), PosixPath('/home/boittier/pcbach/3body/f12/test375/test375_7.out'), PosixPath('/home/boittier/pcbach/3body/f12/test375/test375_3.out'), PosixPath('/home/boittier/pcbach/3body/f12/test375/test375_2.out'), PosixPath('/home/boittier/pcbach/3body/f12/test375/test375_9.out'), PosixPath('/home/boittier/pcbach/3body/f12/test375/test375_8.out'), PosixPath('/home/boittier/pcbach/3body/f12/test375/test375_1.out')]","(-1527.51017046, -1521.28481464, -1521.25420511)",-1521.25420511,-1521.28481464,-1527.51017046,"[(-76.37114265, -76.06312653, -76.06153796), (-76.36735294, -76.05684847, -76.05531279), (-76.36993702, -76.06229723, -76.06068234), (-76.37241447, -76.0658537, -76.06423678), (-76.37034857, -76.06213937, -76.06056835), (-76.36944236, -76.06090726, -76.05931709), (-76.36815254, -76.0592083, -76.05762287), (-76.37186438, -76.06446464, -76.06286681), (-76.37092199, -76.06300336, -76.06142415), (-76.37144859, -76.06465068, -76.06302539), (-76.36943316, -76.06004605, -76.05848726), (-76.36859082, -76.05969628, -76.05811215), (-76.37007606, -76.06202008, -76.06041941), (-76.37054857, -76.06357663, -76.06197398), (-76.3709137, -76.06401573, -76.06238663), (-76.36613107, -76.05488835, -76.0533739), (-76.36636473, -76.05637201, -76.05480953), (-76.37107802, -76.06318276, -76.06158845), (-76.36940286, -76.05998272, -76.05842432), (-76.37135173, -76.06367084, -76.06208311)]",-1521.1982532700001,-1521.2299509899997,-1527.39691623,-35.10994745539884,-34.427104966102526,-71.06736908765149
test376,[PosixPath('/home/boittier/pcbach/molpro_energies/test376/test376.out')],"[PosixPath('/home/boittier/pcbach/3body/f12/test376/test376_0.out'), PosixPath('/home/boittier/pcbach/3body/f12/test376/test376_17.out'), PosixPath('/home/boittier/pcbach/3body/f12/test376/test376_11.out'), PosixPath('/home/boittier/pcbach/3body/f12/test376/test376_10.out'), PosixPath('/home/boittier/pcbach/3body/f12/test376/test376_18.out'), PosixPath('/home/boittier/pcbach/3body/f12/test376/test376_13.out'), PosixPath('/home/boittier/pcbach/3body/f12/test376/test376_12.out'), PosixPath('/home/boittier/pcbach/3body/f12/test376/test376_1.out'), PosixPath('/home/boittier/pcbach/3body/f12/test376/test376_3.out'), PosixPath('/home/boittier/pcbach/3body/f12/test376/test376_16.out'), PosixPath('/home/boittier/pcbach/3body/f12/test376/test376_14.out'), PosixPath('/home/boittier/pcbach/3body/f12/test376/test376_15.out'), PosixPath('/home/boittier/pcbach/3body/f12/test376/test376_19.out'), PosixPath('/home/boittier/pcbach/3body/f12/test376/test376_2.out'), PosixPath('/home/boittier/pcbach/3body/f12/test376/test376_6.out'), PosixPath('/home/boittier/pcbach/3body/f12/test376/test376_5.out'), PosixPath('/home/boittier/pcbach/3body/f12/test376/test376_7.out'), PosixPath('/home/boittier/pcbach/3body/f12/test376/test376_8.out'), PosixPath('/home/boittier/pcbach/3body/f12/test376/test376_9.out'), PosixPath('/home/boittier/pcbach/3body/f12/test376/test376_4.out')]","(-1527.49588488, -1521.27839019, -1521.24757679)",-1521.24757679,-1521.27839019,-1527.49588488,"[(-76.37151109, -76.06412545, -76.06251444), (-76.36943833, -76.06021046, -76.05865254), (-76.3702792, -76.06189415, -76.06030499), (-76.37241942, -76.06594585, -76.0643178), (-76.37227517, -76.06662697, -76.06498308), (-76.37161687, -76.06459738, -76.06298392), (-76.37174623, -76.06436244, -76.06275386), (-76.36817698, -76.05817637, -76.05663162), (-76.37180271, -76.06473465, -76.06311885), (-76.37082907, -76.06391248, -76.06228303), (-76.37051514, -76.0634938, -76.06186701), (-76.36883517, -76.05905278, -76.05750497), (-76.37194771, -76.06440414, -76.06280682), (-76.37232771, -76.06572745, -76.06410374), (-76.36916018, -76.05982568, -76.05826171), (-76.37079744, -76.06255138, -76.06096224), (-76.36970721, -76.06097241, -76.05939812), (-76.36566531, -76.05523656, -76.05368391), (-76.36884944, -76.05954829, -76.05798482), (-76.37191467, -76.06554817, -76.06391743)]",-1521.2190348999998,-1521.25094686,-1527.40981505,-17.910121600839197,-17.220771904907856,-54.00907653451649
test377,[PosixPath('/home/boittier/pcbach/molpro_energies/test377/test377.out')],"[PosixPath('/home/boittier/pcbach/3body/f12/test377/test377_3.out'), PosixPath('/home/boittier/pcbach/3body/f12/test377/test377_14.out'), PosixPath('/home/boittier/pcbach/3body/f12/test377/test377_11.out'), PosixPath('/home/boittier/pcbach/3body/f12/test377/test377_16.out'), PosixPath('/home/boittier/pcbach/3body/f12/test377/test377_0.out'), PosixPath('/home/boittier/pcbach/3body/f12/test377/test377_13.out'), PosixPath('/home/boittier/pcbach/3body/f12/test377/test377_10.out'), PosixPath('/home/boittier/pcbach/3body/f12/test377/test377_15.out'), PosixPath('/home/boittier/pcbach/3body/f12/test377/test377_12.out'), PosixPath('/home/boittier/pcbach/3body/f12/test377/test377_2.out'), PosixPath('/home/boittier/pcbach/3body/f12/test377/test377_4.out'), PosixPath('/home/boittier/pcbach/3body/f12/test377/test377_19.out'), PosixPath('/home/boittier/pcbach/3body/f12/test377/test377_1.out'), PosixPath('/home/boittier/pcbach/3body/f12/test377/test377_18.out'), PosixPath('/home/boittier/pcbach/3body/f12/test377/test377_17.out'), PosixPath('/home/boittier/pcbach/3body/f12/test377/test377_7.out'), PosixPath('/home/boittier/pcbach/3body/f12/test377/test377_9.out'), PosixPath('/home/boittier/pcbach/3body/f12/test377/test377_8.out'), PosixPath('/home/boittier/pcbach/3body/f12/test377/test377_6.out'), PosixPath('/home/boittier/pcbach/3body/f12/test377/test377_5.out')]","(-1527.51296105, -1521.29888581, -1521.26803159)",-1521.26803159,-1521.29888581,-1527.51296105,"[(-76.37105457, -76.06365012, -76.06204956), (-76.37143579, -76.06413919, -76.06253274), (-76.3706438, -76.06317663, -76.06156969), (-76.37177392, -76.06478658, -76.06317647), (-76.37110347, -76.06465277, -76.06301146), (-76.37119861, -76.06426803, -76.06265549), (-76.3657145, -76.0546789, -76.05314955), (-76.36700052, -76.05713414, -76.0555839), (-76.3712762, -76.06334917, -76.06175384), (-76.37247054, -76.06702478, -76.06536942), (-76.36915046, -76.06229116, -76.06066113), (-76.36958744, -76.06029149, -76.05874099), (-76.36636739, -76.05588113, -76.05433451), (-76.36984969, -76.06068714, -76.05913304), (-76.37103666, -76.06271739, -76.06113437), (-76.37234487, -76.066645, -76.06499668), (-76.37155524, -76.06587887, -76.06423402), (-76.36942125, -76.06041512, -76.05884363), (-76.36886061, -76.06160861, -76.06000934), (-76.37181225, -76.06411244, -76.06251884)]",-1521.2154586699999,-1521.2473886599998,-1527.4036577799998,-32.98966501882425,-32.31461611654997,-68.58812983498714
test378,[PosixPath('/home/boittier/pcbach/molpro_energies/test378/test378.out')],"[PosixPath('/home/boittier/pcbach/3body/f12/test378/test378_15.out'), PosixPath('/home/boittier/pcbach/3body/f12/test378/test378_11.out'), PosixPath('/home/boittier/pcbach/3body/f12/test378/test378_14.out'), PosixPath('/home/boittier/pcbach/3body/f12/test378/test378_1.out'), PosixPath('/home/boittier/pcbach/3body/f12/test378/test378_0.out'), PosixPath('/home/boittier/pcbach/3body/f12/test378/test378_19.out'), PosixPath('/home/boittier/pcbach/3body/f12/test378/test378_16.out'), PosixPath('/home/boittier/pcbach/3body/f12/test378/test378_12.out'), PosixPath('/home/boittier/pcbach/3body/f12/test378/test378_6.out'), PosixPath('/home/boittier/pcbach/3body/f12/test378/test378_13.out'), PosixPath('/home/boittier/pcbach/3body/f12/test378/test378_18.out'), PosixPath('/home/boittier/pcbach/3body/f12/test378/test378_17.out'), PosixPath('/home/boittier/pcbach/3body/f12/test378/test378_3.out'), PosixPath('/home/boittier/pcbach/3body/f12/test378/test378_2.out'), PosixPath('/home/boittier/pcbach/3body/f12/test378/test378_8.out'), PosixPath('/home/boittier/pcbach/3body/f12/test378/test378_7.out'), PosixPath('/home/boittier/pcbach/3body/f12/test378/test378_5.out'), PosixPath('/home/boittier/pcbach/3body/f12/test378/test378_4.out'), PosixPath('/home/boittier/pcbach/3body/f12/test378/test378_9.out'), PosixPath('/home/boittier/pcbach/3body/f12/test378/test378_10.out')]","(-1527.4785372, -1521.2537474, -1521.22296018)",-1521.22296018,-1521.2537474,-1527.4785372,"[(-76.3715887, -76.06381469, -76.06222376), (-76.37238674, -76.06547298, -76.06386067), (-76.37137377, -76.06564034, -76.06398115), (-76.37246729, -76.06662241, -76.06498571), (-76.36961802, -76.06038747, -76.05882665), (-76.3705508, -76.06320506, -76.06158533), (-76.36839157, -76.05870386, -76.05714459), (-76.36654967, -76.05590296, -76.05436707), (-76.37173231, -76.06409818, -76.06249858), (-76.36789002, -76.05780195, -76.05625819), (-76.37180259, -76.06522422, -76.06359522), (-76.36981221, -76.06078027, -76.05922557), (-76.37192264, -76.06538832, -76.06375625), (-76.35970525, -76.04681875, -76.04531429), (-76.37254528, -76.0663807, -76.0647476), (-76.37172326, -76.06411254, -76.06251194), (-76.36925994, -76.0606361, -76.05907688), (-76.37196407, -76.06606971, -76.06442686), (-76.37060379, -76.06394587, -76.06232158), (-76.36736455, -76.05890978, -76.0573171)]",-1521.20802499,-1521.23991616,-1527.3992524700002,-9.371876530544982,-8.679144593828138,-49.751405929001294
test379,[PosixPath('/home/boittier/pcbach/molpro_energies/test379/test379.out')],"[PosixPath('/home/boittier/pcbach/3body/f12/test379/test379_13.out'), PosixPath('/home/boittier/pcbach/3body/f12/test379/test379_15.out'), PosixPath('/home/boittier/pcbach/3body/f12/test379/test379_10.out'), PosixPath('/home/boittier/pcbach/3body/f12/test379/test379_5.out'), PosixPath('/home/boittier/pcbach/3body/f12/test379/test379_19.out'), PosixPath('/home/boittier/pcbach/3body/f12/test379/test379_12.out'), PosixPath('/home/boittier/pcbach/3body/f12/test379/test379_18.out'), PosixPath('/home/boittier/pcbach/3body/f12/test379/test379_11.out'), PosixPath('/home/boittier/pcbach/3body/f12/test379/test379_0.out'), PosixPath('/home/boittier/pcbach/3body/f12/test379/test379_1.out'), PosixPath('/home/boittier/pcbach/3body/f12/test379/test379_14.out'), PosixPath('/home/boittier/pcbach/3body/f12/test379/test379_4.out'), PosixPath('/home/boittier/pcbach/3body/f12/test379/test379_16.out'), PosixPath('/home/boittier/pcbach/3body/f12/test379/test379_3.out'), PosixPath('/home/boittier/pcbach/3body/f12/test379/test379_9.out'), PosixPath('/home/boittier/pcbach/3body/f12/test379/test379_8.out'), PosixPath('/home/boittier/pcbach/3body/f12/test379/test379_6.out'), PosixPath('/home/boittier/pcbach/3body/f12/test379/test379_7.out'), PosixPath('/home/boittier/pcbach/3body/f12/test379/test379_17.out'), PosixPath('/home/boittier/pcbach/3body/f12/test379/test379_2.out')]","(-1527.50359718, -1521.2913774, -1521.26044193)",-1521.26044193,-1521.2913774,-1527.50359718,"[(-76.36713971, -76.0570182, -76.05548026), (-76.37062316, -76.06222779, -76.06064191), (-76.37014364, -76.06127118, -76.05970478), (-76.36609054, -76.05549012, -76.05394683), (-76.3695839, -76.0604583, -76.05889763), (-76.36988438, -76.06162873, -76.06005302), (-76.36869482, -76.06194045, -76.06029505), (-76.37134249, -76.0648235, -76.0631864), (-76.37115045, -76.06289982, -76.06131812), (-76.37201771, -76.06689598, -76.06522646), (-76.36861696, -76.0600244, -76.05843181), (-76.36757132, -76.05783694, -76.05628161), (-76.37161327, -76.06371952, -76.06213059), (-76.37098413, -76.064173, -76.0625578), (-76.37063053, -76.06207526, -76.06049671), (-76.37266768, -76.06710755, -76.06545959), (-76.36808041, -76.05792865, -76.05639367), (-76.37149289, -76.06541651, -76.06377069), (-76.37171752, -76.06715311, -76.06548187), (-76.37118698, -76.06310216, -76.06151304)]",-1521.21126784,-1521.2431911699998,-1527.4012324899998,-30.856888997382132,-30.23700388386765,-64.23415006924942
test38,[PosixPath('/home/boittier/pcbach/molpro_energies/test38/test38.out')],"[PosixPath('/home/boittier/pcbach/3body/f12/test38/test38_10.out'), PosixPath('/home/boittier/pcbach/3body/f12/test38/test38_12.out'), PosixPath('/home/boittier/pcbach/3body/f12/test38/test38_14.out'), PosixPath('/home/boittier/pcbach/3body/f12/test38/test38_15.out'), PosixPath('/home/boittier/pcbach/3body/f12/test38/test38_0.out'), PosixPath('/home/boittier/pcbach/3body/f12/test38/test38_11.out'), PosixPath('/home/boittier/pcbach/3body/f12/test38/test38_13.out'), PosixPath('/home/boittier/pcbach/3body/f12/test38/test38_18.out'), PosixPath('/home/boittier/pcbach/3body/f12/test38/test38_16.out'), PosixPath('/home/boittier/pcbach/3body/f12/test38/test38_7.out'), PosixPath('/home/boittier/pcbach/3body/f12/test38/test38_17.out'), PosixPath('/home/boittier/pcbach/3body/f12/test38/test38_8.out'), PosixPath('/home/boittier/pcbach/3body/f12/test38/test38_5.out'), PosixPath('/home/boittier/pcbach/3body/f12/test38/test38_1.out'), PosixPath('/home/boittier/pcbach/3body/f12/test38/test38_9.out'), PosixPath('/home/boittier/pcbach/3body/f12/test38/test38_2.out'), PosixPath('/home/boittier/pcbach/3body/f12/test38/test38_4.out'), PosixPath('/home/boittier/pcbach/3body/f12/test38/test38_19.out'), PosixPath('/home/boittier/pcbach/3body/f12/test38/test38_3.out'), PosixPath('/home/boittier/pcbach/3body/f12/test38/test38_6.out')]","(-1527.46137503, -1521.24365022, -1521.21291924)",-1521.21291924,-1521.24365022,-1527.46137503,"[(-76.36806868, -76.0580584, -76.05652574), (-76.37185558, -76.06510075, -76.06347365), (-76.37001644, -76.06505867, -76.063373), (-76.36879879, -76.05928915, -76.05772884), (-76.36956488, -76.06072649, -76.05915652), (-76.37201614, -76.06698395, -76.0653154), (-76.3712625, -76.06390131, -76.06229044), (-76.37047582, -76.06184938, -76.06027089), (-76.37089473, -76.06306151, -76.06147199), (-76.37103813, -76.0626834, -76.06110231), (-76.3691822, -76.05979309, -76.05824518), (-76.36494131, -76.05315865, -76.05165477), (-76.37219662, -76.06507928, -76.06347055), (-76.37178824, -76.06518669, -76.06355635), (-76.36879954, -76.05904701, -76.05750736), (-76.37201819, -76.06458909, -76.06298762), (-76.37105236, -76.06269209, -76.0611122), (-76.3724229, -76.06551357, -76.06390117), (-76.36837186, -76.05951881, -76.05795278), (-76.36857126, -76.058853, -76.05730488)]",-1521.2084016400001,-1521.24014429,-1527.4033361699999,-2.834807552719611,-2.199981592836392,-36.41955876665798
